id,tokens,ner_tags
125126,"['The', 'Salamander', 'Glacier', 'covered', 'an', 'area', 'of', 'approximately', 'as', 'of', '1993', '.']","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43610,"['Kotel', 'Gap', '(', 'Kotelska', 'Sedlovina', ""\\'ko-tel-ska"", ""se-dlo-vi-'na\\"", ')', 'is', 'a', 'saddle', 'of', 'elevation', '660', 'm', 'extending', '1', 'km', 'between', 'Serdica', 'Peak', 'and', 'Silistra', 'Knoll', 'in', 'Levski', 'Ridge', ',', 'Tangra', 'Mountains', 'on', 'Livingston', 'Island', 'in', 'the', 'South', 'Shetland', 'Islands', ',', 'Antarctica', '.']","[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74188,"['It', 'is', 'the', 'culminating', 'point', 'of', 'a', 'ridge', 'separating', 'the', 'Rhêmes', 'and', 'the', 'Valgrisenche', 'valleys', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
66655,"['The', 'popularity', 'of', 'MAME', 'has', 'well', 'since', 'broken', 'through', 'to', 'the', 'mainstream', ',', 'with', 'enthusiasts', 'building', 'their', 'own', 'arcade', 'game', 'cabinets', 'to', 'relive', 'the', 'old', 'games', ',', 'and', 'with', 'companies', 'producing', 'illegal', 'derivative', 'works', 'of', 'MAME', 'to', 'be', 'installed', 'in', 'arcades', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
284,"['The', 'North', 'Lyell', 'Mine', ',', 'scene', 'of', 'the', '1912', 'North', 'Mount', 'Lyell', 'Disaster', 'was', 'at', 'its', 'northernmost', 'end', ',', 'on', 'the', 'slopes', 'of', 'Mount', 'Lyell', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
47889,"['The', 'Army', 'established', 'the', 'Yukon', 'Command', 'at', 'Ladd', 'Air', 'Force', 'Base', 'as', 'a', 'component', 'of', 'the', 'U.S.', 'Army', 'Alaska', '(', 'USARAL', ')', 'with', 'the', 'mission', 'of', 'point', 'defense', 'of', 'U.S', '.', 'military', 'installations', 'north', 'of', 'the', 'Alaska', 'Range', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
107002,"['In', 'the', 'Candidates', 'Tournament', 'for', 'the', '1996', 'FIDE', 'World', 'Chess', 'Championship', 'he', 'won', 'his', 'first', 'two', 'matches', 'against', 'Alexander', 'Khalifman', '(', '+4−0=2', ')', 'and', 'Jan', 'Timman', '(', '+2−1=5', ')', 'to', 'reach', 'the', 'quarterfinals', ',', 'where', 'he', 'was', 'defeated', 'by', 'Gata', 'Kamsky', '(', '+0−4=3', ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115075,"['The', 'occurrence', 'of', 'bieberite', 'at', 'the', 'Island', 'Mountain', 'deposit', 'had', 'earlier', 'been', 'recorded', 'in', '1923', '.']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
26410,"['Mount', 'Kennedy', 'is', 'a', 'graceful', ',', 'towering', ',', 'unencumbered', 'peak', '...', 'a', 'symbol', 'of', 'aspiration', 'and', 'upward', 'reach', '.', ""''""]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17534,"['Guan', 'Yin', 'ended', 'his', 'narration', 'by', 'mentioning', 'that', 'he', 'looks', 'forward', 'to', 'every', 'seventh', 'month', ',', 'as', 'that', 'is', 'the', 'only', 'time', 'all', 'three', 'of', 'them', 'can', 'be', 'reunited', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19735,"['Seqiz', 'is', 'a', 'Kurdish', 'city', 'on', 'the', 'Zagros', 'mountains', 'in', 'Iran', '.']","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0]"
4498,"['Founded', 'by', 'the', 'Dominican', 'Sisters', 'of', 'St.', 'Mary', 'of', 'the', 'Springs', '(', 'now', 'Dominican', 'Sisters', 'of', 'Peace', ')', ',', 'it', 'is', 'located', 'in', 'the', 'Prospect', 'Hill', 'neighborhood', 'of', 'New', 'Haven', ',', 'near', 'the', 'border', 'with', 'Hamden', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
126382,"['The', 'hills', 'of', 'the', 'Satpura', 'Range', 'surround', 'Barwani', '.']","[0, 0, 0, 0, 1, 1, 0, 0, 0]"
14742,"['According', 'to', 'Pausanias', 'in', 'the', 'later', 'second', 'century', 'AD', ',', 'there', 'were', 'originally', 'three', 'Muses', ',', 'worshipped', 'on', 'Mount', 'Helicon', 'in', 'Boeotia', ':', 'Aoide', '(', '``', 'song', ""''"", 'or', '``', 'tune', ""''"", ')', ',', 'Melete', '(', '``', 'practice', ""''"", 'or', '``', 'occasion', ""''"", ')', ',', 'and', 'Mneme', '(', '``', 'memory', ""''"", ')', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92627,"['A', 'crudely', 'maintained', 'network', 'of', 'forest', 'service', 'roads', 'pass', 'through', 'Wasp', ',', 'connecting', 'it', 'with', 'U.S', '.', 'Route', '70', 'in', 'the', 'French', 'Broad', 'valley', 'to', 'the', 'north', 'and', 'the', 'Round', 'Mountain', 'campground', 'near', 'Lemon', 'Gap', 'to', 'the', 'south', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
